norad_id,satellite_name,collision_probability,risk_class,risk_label,altitude_km,velocity_mag_km_s,lstm_pred_alt_km,lstm_risk_score,dist_evolution
17369,COSMOS 1818,0.3869,1,Medium,797.4400144709934,7.4510110423595535,797.4400144709934,0.0010394187615880347,3.4568533755473254
4047,OPS 1127 (DMSP 4B F3),0.3868,1,Medium,823.98721573884,7.428794229872503,823.98721573884,0.0010324958206488842,61.057714976032
18187,COSMOS 1867,0.3865,1,Medium,797.1796765785257,7.450583625818517,797.1796765785257,0.001039396884841311,0.2579674228136355
8799,METEOR 1-24,0.3864,1,Medium,834.3417999737849,7.4526523912042215,834.3417999737849,0.0010343232282514808,54.797122930564
15755,COSMOS 1656,0.3862,1,Medium,812.8029311171867,7.458824270911669,812.8029311171867,0.0010382835306635718,15.822711165613327
7244,OPS 4547,0.3862,1,Medium,799.5773709538362,7.4482555970261926,799.5773709538362,0.0010387246677230149,3.758934978231082
19902,COSMOS 2008,0.3862,1,Medium,1402.9085724579281,7.179622087027004,468.52,0.001082509653420307,4.691875620957944
20437,OSCAR 14 (UOSAT 3),0.3861,1,Medium,803.4700791657115,7.439505141530114,803.4700791657115,0.0010369414130158617,15.959871684324753
1510,DODECAPOLE 2,0.3854,1,Medium,836.961229001131,7.445226279348331,836.961229001131,0.0010329170819333166,56.93551812739315
13241,COSMOS 1371,0.3853,1,Medium,805.4397542748484,7.439265018982789,805.4397542748484,0.00103662334997676,13.049844049191961
735,OPS 3367 B,0.385,1,Medium,809.9307437979005,7.447870457964075,809.9307437979005,0.0010371734143790102,11.351286987248386
11389,OPS 5390,0.385,1,Medium,804.8130265554846,7.449096429987599,804.8130265554846,0.0010380839637851177,2.5008959402248365
11165,COSMOS 1066,0.385,1,Medium,834.0792705941531,7.446431903677962,834.0792705941531,0.0010334975680377082,49.126320516021224
1580,OPS 8068,0.3849,1,Medium,913.182153307429,7.332760140719591,913.182153307429,0.0010066689693351647,250.92640763954932
4419,METEOR 1-5,0.3847,1,Medium,828.4562146896724,7.444123740693393,828.4562146896724,0.0010339841675131665,40.15915600610697
2669,OPS 6073 (DMSP 4A F2),0.3844,1,Medium,828.5520088790163,7.4261270158193495,828.5520088790163,0.001031470709102581,52.34990650063446
813,OPS 4467 B,0.384,1,Medium,815.0755157560734,7.4506866104951035,815.0755157560734,0.001036822754528372,9.20078883171027
18822,DMSP 5D-2 F9 (USA 29),0.384,1,Medium,806.4196540678358,7.4451334566667775,806.4196540678358,0.0010372994495935896,0.5898173447430963
17973,COSMOS 1844,0.3834,1,Medium,835.2470219622865,7.448499737946763,835.2470219622865,0.0010336170429970232,37.5324153441652
9903,METEOR 1-27,0.3833,1,Medium,846.3911560176193,7.447127909534252,846.3911560176193,0.0010318309966233555,54.37589387354819
812,OPS 4467 A,0.3829,1,Medium,814.6661066222496,7.445472625320169,814.6661066222496,0.0010361562191789685,4.94571919970258
7209,METEOR 1-16,0.3829,1,Medium,834.9584319438409,7.441361812631476,834.9584319438409,0.00103266787935441,38.83218601989847
16969,NOAA 10,0.3826,1,Medium,810.4580097623875,7.439418833671552,810.4580097623875,0.001035920397161481,0.8617061860313697
9415,OPS 5721,0.3824,1,Medium,825.4270582019608,7.426637927805623,825.4270582019608,0.0010319896064730184,32.375317411379
13923,NOAA 8,0.3822,1,Medium,817.6165083805408,7.433343348628126,817.6165083805408,0.001034043663333867,13.859348388472426
7734,GEOS 3,0.3818,1,Medium,826.7774020252527,7.445889222384523,826.7774020252527,0.001034470615927836,15.043856318943654
2801,COSMOS 158,0.3817,1,Medium,815.8087700165906,7.429300523947191,815.8087700165906,0.0010337412280875314,10.67057156167175
7574,METEOR 1-20,0.3811,1,Medium,840.5050391123805,7.438282733033144,840.5050391123805,0.0010314466526322604,36.541715442743225
8026,METEOR 2-1,0.3805,1,Medium,844.8018470805928,7.4366508820468376,844.8018470805928,0.0010306063053901067,39.502284251806486
11962,METEOR 2-6,0.3803,1,Medium,844.643405473259,7.438414405106373,844.643405473259,0.0010308733382617184,36.29910900971481
5903,OPS 5058 (DMSP 5B F2),0.3803,1,Medium,840.2378119934474,7.41599770323407,840.2378119934474,0.0010283945553563737,48.065113261402075
15427,NOAA 9,0.3799,1,Medium,837.4182937118867,7.441671220476084,837.4182937118867,0.0010323584061385103,20.643471944242265
12553,NOAA 7,0.3797,1,Medium,836.1189241643442,7.440108530475278,836.1189241643442,0.0010323277038664863,17.778150973573247
4331,OPS 0054 (DMSP 5A F1),0.3792,1,Medium,821.1406629393132,7.419197520421599,821.1406629393132,0.0010315701358084243,8.718033734840901
19119,COSMOS 1943,0.3789,1,Medium,839.9615720981274,7.441022281557555,839.9615720981274,0.0010319043039072094,17.3800096171899
8519,METEOR 1-23,0.3789,1,Medium,847.3534155160496,7.4365153695930735,847.3534155160496,0.0010302232298030848,31.455043079708048
18123,DMSP 5D-2 F8 (USA 26),0.3786,1,Medium,831.4168598808037,7.441236648440231,831.4168598808037,0.0010331582846710402,2.1402030332774302
5580,PROSPERO (BLACK ARROW),0.3785,1,Medium,873.5397886667579,7.426821952862543,873.5397886667579,0.0010251613172835277,74.72663075738546
2119,OPS 1117 (TRANSIT 12),0.3781,1,Medium,902.6476442485846,7.447746684966332,902.6476442485846,0.0010239355890239489,95.64630835468779
12645,INTERCOSMOS 22,0.3778,1,Medium,861.63954443271,7.404394717561254,861.63954443271,0.0010237472325384655,69.98575005084967
11060,TIROS N,0.3777,1,Medium,841.5296497958989,7.430670065347809,841.5296497958989,0.0010302446473212188,18.877702194567064
7816,OPS 6226,0.3766,1,Medium,849.5808286089077,7.413633067247731,849.5808286089077,0.0010267363863408223,35.91453363871187
16181,COSMOS 1697,0.3765,1,Medium,849.3565932835127,7.435222006353946,849.3565932835127,0.001029758282751617,17.89207349978642
5731,METEOR 1-10,0.3765,1,Medium,851.7906232465048,7.436155723081315,851.7906232465048,0.0010295405350873796,20.94622954235183
6659,METEOR 1-15,0.376,1,Medium,853.7495684422829,7.429985022633222,853.7495684422829,0.0010284072758850228,24.64721946424652
11605,METEOR 2-5,0.3759,1,Medium,858.6571632438572,7.427854823477031,858.6571632438572,0.0010274145309740034,33.03417576555967
13845,SSB,0.3752,1,Medium,1073.4805207181344,7.2706449435307325,1073.4805207181344,0.0009766490654782945,428.1210523572163
7646,STARLETTE,0.3748,1,Medium,886.597951723721,7.447279937865703,886.597951723721,0.0010261356425919036,49.152634443460556
10539,COSMOS 972,0.3747,1,Medium,948.5266963841268,7.3716065051451976,948.5266963841268,0.0010071151880335103,192.0824406310212
10287,COSMOS 941,0.3743,1,Medium,1441.9996539783951,7.1463152507113765,338.75,0.0010682027915669729,7.839758525216894
12456,METEOR 2-7,0.374,1,Medium,858.4472847674242,7.4289870106265505,858.4472847674242,0.0010276009656062588,18.094860152158617
19531,NOAA 11,0.3736,1,Medium,860.7833120430059,7.415759295721848,860.7833120430059,0.001025439919275854,28.99409024006127
19649,COSMOS 1980,0.3735,1,Medium,855.4902076862081,7.423911685954582,855.4902076862081,0.0010273191373121068,13.818339125993589
801,OPS 4412 (TRANSIT 9),0.3731,1,Medium,873.9945127629007,7.401832831584958,873.9945127629007,0.0010216478174753297,55.28615426972283
10594,SS 3,0.3725,1,Medium,1009.1913728495674,7.284661305393134,1009.1913728495674,0.0009870558820726692,320.3428666097998
15333,COSMOS 1603,0.3723,1,Medium,865.6568948727981,7.417045256833345,865.6568948727981,0.0010249270297847549,24.9501239783458
932,EXPLORER 25 (INJUN-4),0.3722,1,Medium,1309.0200651554114,7.245795961246079,1309.0200651554114,0.0009434605508546227,674.8049163613978
19467,FENGYUN 1A,0.3719,1,Medium,873.7192630155805,7.419980724357779,873.7192630155805,0.0010241916152965251,31.74638236591545
8845,METEOR 1-25,0.3712,1,Medium,862.9720413313071,7.424481768088329,862.9720413313071,0.0010263354248079126,7.192468215412191
1292,GGSE 3,0.371,1,Medium,879.4461528961838,7.421674628901283,879.4461528961838,0.0010236162675226134,31.358010751267102
117,SOLRAD 3/INJUN 1,0.3708,1,Medium,909.7664658411513,7.407412554179834,909.7664658411513,0.001017394609335825,83.40778715457327
4382,DFH-1,0.3707,1,Medium,989.5390752308367,7.465963323459137,989.5390752308367,0.0010143228977050154,141.9142811906995
17589,COSMOS 1833,0.3707,1,Medium,877.791436301759,7.404499216222324,877.791436301759,0.0010214805159299775,40.9428200233524
11288,METEOR 2-4,0.3705,1,Medium,877.5524336310827,7.4065730022973515,877.5524336310827,0.0010218002932465661,37.428643914841814
1864,OPS 1509 (TRANSIT 10),0.3702,1,Medium,895.508795437152,7.441624596702927,895.508795437152,0.0010240990283223402,32.56455492079476
46,SOLRAD 1 (GREB),0.37,1,Medium,848.5134042296922,7.3645239526959925,848.5134042296922,0.0010200859172006444,25.240449427941712
6256,METEOR 1-13,0.3694,1,Medium,867.6842139599103,7.419214697927335,867.6842139599103,0.0010249396822172832,4.982747156582263
10544,SS 2,0.3694,1,Medium,1196.7020537994595,7.12181828399981,1196.7020537994595,0.0009410806917833415,634.0674728553777
7490,METEOR 1-19,0.3691,1,Medium,871.4867288875448,7.412432124808024,871.4867288875448,0.0010234650614191162,13.480663666303371
10514,METEOR 2-3,0.3689,1,Medium,886.3947421953344,7.397129469834971,886.3947421953344,0.0010192541170218016,45.65064130882001
4256,OPS 7613 (P/L 1),0.3689,1,Medium,887.8471926030006,7.418586965873017,887.8471926030006,0.0010220062179339988,30.644234537900047
12803,COSMOS 1304,0.3687,1,Medium,906.5101176794487,7.41920911058571,906.5101176794487,0.0010194708067202858,54.3420495656037
13768,COSMOS 1436,0.3687,1,Medium,1427.1552661272926,7.156532338701055,683.11,0.0010599814075750635,10.456308574041941
3158,COSMOS 209,0.3686,1,Medium,894.9522571145435,7.41499707172336,894.9522571145435,0.001020512770980965,40.723393772757845
8293,METEOR 1-22,0.3683,1,Medium,873.1944521173509,7.4056435821339655,873.1944521173509,0.001022286691927413,15.49481809568806
17527,MOS 1A (MOMO 1),0.3681,1,Medium,880.5556971872584,7.414317440335692,880.5556971872584,0.0010224450793657374,17.757409508614728
870,EXPLORER 20,0.3681,1,Medium,920.3148663954807,7.401503884223327,920.3148663954807,0.0010151123658553947,82.7109999532222
9481,METEOR 1-26,0.368,1,Medium,889.4661124640024,7.393100026255292,889.4661124640024,0.0010182679612764252,46.10427626610817
5917,METEOR 1-11,0.3677,1,Medium,883.1569698211615,7.406843171714857,883.1569698211615,0.0010210480973225286,24.214249558119263
7274,METEOR 1-17,0.3674,1,Medium,878.0537488044747,7.409265904771606,878.0537488044747,0.0010221011129892027,13.067786411314955
1293,OSCAR 3,0.3673,1,Medium,874.9682265955616,7.413716676465388,874.9682265955616,0.0010231505914218783,4.47024223871631
7714,METEOR 1-21,0.3665,1,Medium,898.7274746461226,7.393100255783159,898.7274746461226,0.0010169707573725853,48.20424183261184
2847,TIMATION 1,0.366,1,Medium,886.5582093649036,7.415463721990352,886.5582093649036,0.0010217573883763954,9.983390884482105
20322,COBE,0.3659,1,Medium,882.7309268442004,7.41564773781576,882.7309268442004,0.0010223218661685324,3.6337507694934175
10502,OPS 8781,0.3655,1,Medium,895.2262772114582,7.392614628324474,895.2262772114582,0.0010173939464986658,36.08504409735451
6909,NNSS 20 (TRANSIT 20),0.3655,1,Medium,918.1309333825184,7.431533417302515,918.1309333825184,0.0010195362774000707,37.320217977962784
9661,METEOR 2-2,0.3653,1,Medium,885.1326131221585,7.414682821567555,885.1326131221585,0.0010218505114086079,3.4059529096921324
7363,METEOR 1-18,0.3647,1,Medium,894.5695246232881,7.409594369185199,894.5695246232881,0.0010198229256596892,16.435092420146248
6126,LANDSAT 1 (ERTS 1),0.3641,1,Medium,897.2590030576621,7.406151239468446,897.2590030576621,0.0010189718385589693,17.92606064654683
728,GGSE 1 (GGRS),0.3641,1,Medium,901.369710480556,7.408927926167254,901.369710480556,0.001018777677857865,21.724655329923735
6079,METEOR 1-12,0.3641,1,Medium,889.4811639242225,7.410393649465459,889.4811639242225,0.0010206477342419287,4.09037397107295
4237,OPS 7613 (P/L 4),0.3638,1,Medium,904.9036514883983,7.408971371476881,904.9036514883983,0.00101828882381658,24.433475113349232
19070,OSCAR 23,0.3636,1,Medium,1024.4473618942857,7.410895270471443,1024.4473618942857,0.0010020888403123188,175.69583722503012
20281,MAGION 2,0.3635,1,Medium,1274.1737473636276,7.289658992521255,1274.1737473636276,0.0009534981458119288,543.1461612170078
1272,PORCUPINE 1,0.3634,1,Medium,906.9707025446469,7.410170892207884,906.9707025446469,0.0010181644300405078,23.529624785433953
7005,COSMOS 626,0.3625,1,Medium,929.2290604042191,7.401271136708613,929.2290604042191,0.0010138409460125624,53.83394280738139
2872,SURCAL 159,0.3623,1,Medium,898.3587958143526,7.401889625213686,898.3587958143526,0.0010182314332146658,10.070560007564382
4259,OPS 7613 (P/L 3),0.3621,1,Medium,909.6858252631682,7.406398409927864,909.6858252631682,0.0010172665855500162,20.283679545957966
2176,OPS 0082 (TRANSIT 13),0.362,1,Medium,916.675103013994,7.3828317859727095,916.675103013994,0.001013057207080947,47.624078332089084
14483,COSMOS 1508,0.3613,1,Medium,1262.7966722076699,7.028776084068548,1262.7966722076699,0.0009207444717067436,711.668262233422
7727,COSMOS 724,0.3611,1,Medium,925.1940361933921,7.375928255825974,925.1940361933921,0.0010109281934166023,57.82365228576691
4247,OPS 7613 (P/L 5),0.361,1,Medium,905.930231323403,7.40355518211717,905.930231323403,0.0010174008746502354,8.99926504465202
12783,COSMOS 1299,0.3609,1,Medium,923.7979350610431,7.407389999470595,923.7979350610431,0.0010154345693207485,29.968423258873372
10703,OSCAR 8,0.3609,1,Medium,906.476569956335,7.398880357493084,906.476569956335,0.0010166821268841925,13.153883355698781
13777,IRAS,0.3606,1,Medium,916.2109104791771,7.38055079742481,916.2109104791771,0.0010128087258749995,38.49988576169653
10358,COSMOS 952,0.3603,1,Medium,933.4719600192293,7.402364522539673,933.4719600192293,0.00101340173020805,42.25820115201441
4168,TEMPSAT 2,0.3599,1,Medium,907.3983541201396,7.401182791092313,907.3983541201396,0.001016869705531117,5.313240648017199
20478,MOS 1B (MOMO 1B),0.3596,1,Medium,913.305171949648,7.401052583897645,913.305171949648,0.0010160272543766518,10.774520868488253
116,TRANSIT 4A,0.3595,1,Medium,935.2184329275633,7.380266438505455,935.2184329275633,0.0010101349290686647,55.913559472220186
16986,COSMOS 1782,0.3593,1,Medium,481.6437966246731,7.6169092908318135,750.15,0.000936363885271874,6.231832593126455
899,EXPLORER 22,0.3593,1,Medium,947.6368446756051,7.380564801538768,947.6368446756051,0.001008461679159312,71.08221739827786
18122,COSMOS 1860,0.3592,1,Medium,921.33278660623,7.405483837363296,921.33278660623,0.001015516440906933,15.677580775139177
1244,GGSE 2,0.3592,1,Medium,908.7035836596924,7.402551161683787,908.7035836596924,0.0010168753544168808,0.45795394440756354
1271,OPS 4988 (GREB 6),0.3592,1,Medium,914.9542513517026,7.393485781589155,914.9542513517026,0.001014758743539668,16.143256142690007
1208,SECOR 3,0.3589,1,Medium,911.7567665435326,7.398523735775605,911.7567665435326,0.0010158960367540899,6.118538094869109
2873,OPS 5712 (P/L 152),0.3589,1,Medium,911.9083535985101,7.397688275395362,911.9083535985101,0.0010157601765976004,6.9530564567785405
731,GREB,0.3589,1,Medium,910.2216585034375,7.403461796429965,910.2216585034375,0.0010167884104700712,0.13477931239140162
7615,LANDSAT 2,0.3589,1,Medium,913.7107886362046,7.398593329602662,913.7107886362046,0.0010156330902174055,8.222809499806317
17997,USA 22,0.3588,1,Medium,1237.3229816320736,7.0450836292990875,1237.3229816320736,0.0009259706306248102,655.7579780251581
7718,COSMOS 723,0.3587,1,Medium,916.7851461589808,7.404249005325793,916.7851461589808,0.0010159806932876162,6.648942372115016
2828,GGSE 4,0.3585,1,Medium,909.2748647223625,7.395487108314165,909.2748647223625,0.0010158252601354491,1.9074768542350284
13243,COSMOS 1372,0.3585,1,Medium,936.703563637896,7.390201789457782,936.703563637896,0.0010112892135130365,42.63223486207971
730,SOLRAD 7A,0.3585,1,Medium,919.1587171061519,7.3937093834254135,919.1587171061519,0.0010142041717248601,16.563271196341702
