satellite_name,norad_id,horizon_h,future_x_km,future_y_km,future_z_km,vel_x_km_s,vel_y_km_s,vel_z_km_s,altitude_km,velocity_mag_km_s,sgp4_risk_score
COSMOS 198,3081,12,3134.2661,4026.5569,-5234.0901,-0.917667,6.052758,4.112998,938.7526380490353,7.375279294878059,0.001008964278283227
COSMOS 198,3081,24,3315.7807,2612.2418,-5968.5417,-0.083143,6.77029,2.919041,939.3829514464296,7.373231299927461,0.0010085971349105037
EXPLORER 36 (GEOS 2),3093,1,-6471.0437,2049.8927,3302.2138,-2.097612,2.994554,-6.366086,1177.5814978533163,7.341279229184516,0.0009725375862037453
EXPLORER 36 (GEOS 2),3093,6,5167.5773,-3877.1182,4619.6037,-4.495523,0.455135,5.312961,1571.080271144344,6.974555863943954,0.0008781774580249889
EXPLORER 36 (GEOS 2),3093,12,-3146.2267,-727.9941,7004.1587,-5.784202,3.453989,-2.487009,1341.7788087182553,7.181381939084287,0.0009311017620480317
EXPLORER 36 (GEOS 2),3093,24,335.5944,2109.509,-7284.5415,6.704426,-2.786057,-0.709767,1220.2579120732426,7.294875652882234,0.0009609574246292386
COSMOS 203,3129,1,-4136.2347,-2115.5472,5958.8176,6.04509,-0.556248,3.994974,1184.8907243938947,7.267210070328228,0.0009617939612157608
COSMOS 203,3129,6,-6156.643,683.1808,-4354.2994,-4.165345,-1.988705,5.596616,1200.7179226235048,7.254457746620763,0.0009580993138882259
COSMOS 203,3129,12,-2460.7514,-2164.0293,6808.1476,6.843311,-0.113916,2.438734,1184.7391436739144,7.265762576669637,0.0009616216810175266
COSMOS 203,3129,24,-1650.4174,1927.8548,-7141.5596,-7.049238,-0.908562,1.39289,1208.0748277384064,7.242746981676773,0.0009556241554931324
OPS 7034 (TRANSIT 18),3133,1,268.1542,-3918.6485,6337.0558,-0.431053,6.222942,3.797837,1084.6011799078642,7.303039073066911,0.0009795372494907461
OPS 7034 (TRANSIT 18),3133,6,512.167,-7411.9523,-1049.7568,0.06644,-1.001402,7.192668,1132.4219708417395,7.2623476367788955,0.0009678714145359734
OPS 7034 (TRANSIT 18),3133,12,-311.8909,4484.4621,5872.594,-0.400027,5.817237,-4.495839,1024.6092750141433,7.362936657938802,0.0009955821601898675
OPS 7034 (TRANSIT 18),3133,24,401.137,-5832.5925,4654.5382,-0.317835,4.57042,5.669142,1101.9359704927547,7.288959396223099,0.000975380951342806
COSMOS 209,3158,1,3441.7674,2438.9206,5966.0215,-6.466998,1.948029,2.946877,935.6756508873013,7.368918792467047,0.0010085186676614265
